Pub_year,Reference,Article title,Region,Location,State,Start_year,Texture,Clay,Sand,Temperature,Precipitation,Duration,Crop,Tillage,Tillage_depth,SOC_Depth,CT,RT,NT,deltaSOC,Change_rate,Change_percent,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn,Strip tillage,10,600,143.2,,143.97,0.77,64,0.04,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn,Chisel plow,25,600,134.85,,143.97,9.12,760,0.56,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn,Deep rip,46,600,135,,143.97,8.97,748,0.55,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn,Moldboard plow,25,600,134.27,,143.97,9.7,808,0.6,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn-corn-soybean,Strip tillage,10,600,142.26,,143.58,1.32,110,0.08,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn-corn-soybean,Chisel plow,25,600,134.81,,143.58,8.77,731,0.54,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn-corn-soybean,Deep rip,46,600,135.97,,143.58,7.61,634,0.47,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Sutherland,Iowa,2002,silty clay loam,480,30,8.08,816,12,corn-corn-soybean,Moldboard plow,25,600,134.12,,143.58,9.46,788,0.59,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn,Strip tillage,10,600,146.43,,147.7,1.27,106,0.07,
2020,"Al-Kaisi, Kwaw-Mensah",Quantifying soil carbon change in a long-term tillage and crop rotation study across Iowa landscapes,North,Kanawha,Iowa,2002,silty clay loam,260,40,7.59,861,12,corn,Chisel plow,25,600,138.7,,147.7,9,750,0.54,
